代码,名称,流通A股(万股),总股本(万股)
sh600000,浦发银行,2810376.3899,2810376.3899
sh600006,东风汽车,200000,200000
sh600008,首创股份,482061.4124,482061.4124
sh600009,上海机场,109347.6397,192695.8448
sh600010,包钢股份,2203883.3821,4558503.2648
sh600011,华能国际,1050000,1520038.344
sh600012,皖通高速,116560,165861
sh600015,华夏银行,1282268.6653,1282268.6653
sh600016,民生银行,2955176.9344,3648534.8752
sh600017,日照港,307565.3888,307565.3888
sh600018,上港集团,2275517.965,2317367.465
sh600019,宝钢股份,2208972.6225,2210265.6925
sh600020,中原高速,224737.1832,224737.1832
sh600021,上海电力,213973.9257,213973.9257
sh600022,山东钢铁,1068861.3107,1094654.9616
sh600023,浙能电力,1360068.9988,1360068.9988
sh600026,中远海能,273603.2861,403203.2861
sh600028,中国石化,9555777.1046,12107120.9646
sh600029,南方航空,702265,981756.7
sh600030,中信证券,981466.17,1211690.84
sh600031,三一重工,759373.7652,765795.6115
sh600036,招商银行,2062894.4429,2521984.5601
sh600037,歌华有线,116835.2026,139177.7884
sh600048,保利地产,1173634.0939,1185844.1061
sh600050,中国联通,2119659.6395,2119659.6395
sh600051,宁波联合,30748.8,31088
sh600052,浙江广厦,87178.9092,87178.9092
sh600053,九鼎投资,43354.08,43354.08
sh600054,黄山旅游,51330,74730
sh600055,万东医疗,48484.8,54081.6199
sh600056,中国医药,101213.6064,106848.5534
sh600057,象屿股份,110440.3411,117077.9403
sh600059,古越龙山,80852.4165,80852.4165
sh600060,海信电器,130848.1222,130848.1222
sh600061,国投安信,196236.4989,369415.1713
sh600062,华润双鹤,57169.5948,72447.0631
sh600063,皖维高新,152011.328,192589.4692
sh600064,南京高科,77247.3055,77247.3055
sh600066,宇通客车,190348.4223,221393.9223
sh600067,冠城大通,149211.0725,149211.0725
sh600069,银鸽投资,82537.4144,124910.2957
sh600070,浙江富润,35661.3052,52194.6118
sh600071,凤凰光学,23747.2456,23747.2456
sh600074,保千里,90560.0688,243788.6049
sh600075,新疆天业,61402.88,97252.2352
sh600076,康欣新材,75237.4637,103426.4129
sh600077,宋都股份,134012.2326,134012.2326
sh600078,澄星股份,66257.2861,66257.2861
sh600079,人福医药,105755.4444,128604.9062
sh600080,金花股份,30529.5872,30529.5872
sh600084,中葡股份,99820.3818,112372.683
sh600085,同仁堂,137147.0262,137147.0262
sh600086,东方金钰,105684.5016,135000
sh600088,中视传媒,33142.2,33142.2
sh600089,特变电工,368038.9439,371864.7789
sh600090,同济堂,70269.6979,143966.2945
sh600091,ST明科,33652.6,43741.2524
sh600093,易见股份,32244.75,112244.75
sh600094,大名城,181283.6847,247532.5057
sh600097,开创国际,20259.7901,20259.7901
sh600099,林海股份,21912,21912
sh600100,同方股份,219788.2238,296389.8951
sh600101,明星电力,32417.8977,32417.8977
sh600103,青山纸业,106184.16,177370.6005
sh600104,上汽集团,1102556.6629,1168346.1365
sh600105,永鼎股份,76190.9292,94499.3092
sh600106,重庆路桥,99851.62,99851.62
sh600107,美尔雅,36000,36000
sh600108,亚盛集团,194691.5121,194691.5121
sh600109,国金证券,302435.931,302435.931
sh600110,诺德股份,115031.2097,115031.2097
sh600111,北方稀土,363306.6,363306.6
sh600112,*ST天成,50920.4846,50920.4846
sh600113,浙江东日,31860,31860
sh600114,东睦股份,38263.5517,43634.7649
sh600115,东方航空,848107.886,1446758.5682
sh600116,三峡水利,88800.5502,99300.5502
sh600117,西宁特钢,74121.9252,104511.8252
sh600118,中国卫星,118248.9135,118248.9135
sh600119,长江投资,30740,30740
sh600121,*ST郑煤,101534.3365,101534.3365
sh600122,宏图高科,115241.085,115416.085
sh600123,兰花科创,114240,114240
sh600125,铁龙物流,130552.1874,130552.1874
sh600126,杭钢股份,92698.5981,259783.7756
sh600127,金健米业,64178.3218,64178.3218
sh600129,太极集团,42689.4,42689.4
sh600130,波导股份,76800,76800
sh600131,岷江水电,39743.8103,50412.5155
sh600132,重庆啤酒,48397.1198,48397.1198
sh600133,东湖高新,53794.8915,63425.7784
sh600135,乐凯胶片,36834.2974,37299.1735
sh600136,当代明诚,27449.5784,48718.2186
sh600137,浪莎股份,9721.7588,9721.7588
sh600138,中青旅,72384,72384
sh600141,兴发集团,48029.7175,51223.7274
sh600143,金发科技,256000,271678.4786
sh600145,*ST新亿,149110.038,149110.038
sh600146,商赢环球,20000,46997
sh600148,长春一东,14151.645,14151.645
sh600150,中国船舶,137811.7598,137811.7598
sh600151,航天机电,125017.9897,143425.2287
sh600152,维科精华,29349.42,29349.42
sh600153,建发股份,283520.053,283520.053
sh600155,宝硕股份,41250,173955.6648
sh600156,华升股份,40211.0702,40211.0702
sh600157,永泰能源,582681.0556,1242579.5326
sh600159,大龙地产,83000.3232,83000.3232
sh600160,巨化股份,181091.5951,211166.6233
sh600161,天坛生物,67010.6928,67010.6928
sh600162,香江控股,177432.798,340067.1424
sh600163,中闽能源,75362.3914,99946.523
sh600165,新日恒力,68488.3775,68488.3775
sh600167,联美控股,21100,88004.5952
sh600168,武汉控股,70956.9692,70956.9692
sh600169,太原重工,242395.5,256395.5
sh600170,上海建工,821851.4745,890439.7728
sh600171,上海贝岭,67380.7773,67380.7773
sh600172,黄河旋风,116241.2303,142631.7987
sh600173,卧龙地产,72505.746,72514.746
sh600175,美都能源,144803.3217,357648.8773
sh600176,中国巨石,291858.9041,291858.9041
sh600177,雅戈尔,358144.7353,358144.7353
sh600178,东安动力,46208,46208
sh600179,安通控股,39000,106212.8511
sh600180,瑞茂通,88254.8893,101647.7464
sh600182,S佳通,17000,34000
sh600183,生益科技,145226.8427,145226.8427
sh600184,光电股份,41876.0826,50876.0826
sh600185,格力地产,161758.3126,206006.1002
sh600187,国中水务,145562.4228,165393.5128
sh600188,兖州煤业,296000,491201.6
sh600189,吉林森工,31050,31050
sh600190,锦州港,177948.453,200229.15
sh600192,长城电工,44174.8,44174.8
sh600193,创兴资源,42537.3,42537.3
sh600195,中牧股份,42980,42980
sh600196,复星医药,190897.3339,249513.1045
sh600197,伊力特,44100,44100
sh600198,大唐电信,87019.6677,88210.8472
sh600199,金种子酒,55577.5002,55577.5002
sh600200,江苏吴中,66803.607,72189.1958
sh600201,生物股份,57282.986,61315.244
sh600202,哈空调,38334.0672,38334.0672
sh600203,福日电子,30317.0793,45644.712
sh600206,有研新材,83877.8332,83877.8332
sh600207,安彩高科,69000,86295.5974
sh600208,新湖中宝,859817.1921,859934.3536
sh600209,罗顿发展,42634.4995,43901.1169
sh600210,紫江企业,143673.6158,151673.6158
sh600211,西藏药业,14558.9,17961.9205
sh600212,江泉实业,51169.7213,51169.7213
sh600213,亚星客车,22000,22000
sh600215,长春经开,46503.288,46503.288
sh600216,浙江医药,93610.3725,96284.8
sh600217,中再资环,72019.7707,141133.6529
sh600218,全柴动力,36875.5,36875.5
sh600219,南山铝业,708796.0902,925110.2895
sh600220,江苏阳光,178334.0326,178334.0326
sh600221,海航控股,1181206.4188,1680612.033
sh600222,太龙药业,53766.0007,57388.6283
sh600223,鲁商置业,100096.8,100096.8
sh600225,*ST松江,85045.158,93549.2615
sh600226,瀚叶股份,109498.297,172452.7554
sh600227,赤天化,95039.2526,173631.9081
sh600228,*ST昌九,24132,24132
sh600229,城市传媒,42977.2079,70209.601
sh600230,沧州大化,29418.8216,29418.8216
sh600231,凌钢股份,160800.44,251916.613
sh600232,金鹰股份,36471.8544,36471.8544
sh600233,圆通速递,33000,282122.9621
sh600234,ST山水,20244.588,20244.588
sh600235,民丰特纸,35130,35130
sh600237,铜峰电子,56436.9565,56436.9565
sh600238,海南椰岛,44500.158,44820
sh600239,云南城投,160568.6909,160568.6909
sh600240,华业资本,142425.36,142425.36
sh600241,时代万恒,19295.9103,22619.2115
sh600243,青海华鼎,23685,43885
sh600246,万通地产,121680,205400.9302
sh600248,延长化建,60760.596,61579.596
sh600249,两面针,45000,55000
sh600250,南纺股份,25869.246,25869.246
sh600251,冠农股份,78484.2008,78484.2008
sh600252,中恒集团,343009.6626,347510.7147
sh600255,梦舟股份,176959.3555,176959.3555
sh600256,广汇能源,522142.4684,522142.4684
sh600257,大湖股份,42705,48123.7188
sh600258,首旅酒店,27768,81574.2752
sh600260,凯乐科技,53936.9133,70884.8523
sh600261,阳光照明,145210.293,145210.293
sh600262,北方股份,17000,17000
sh600265,ST景谷,12980,12980
sh600266,北京城建,151704,156704
sh600267,海正药业,96553.1842,96553.1842
sh600268,国电南自,63524.6434,63524.6434
sh600269,赣粤高速,233540.7014,233540.7014
sh600270,外运发展,90548.172,90548.172
sh600271,航天信息,184681.1881,186285.1781
sh600272,开开实业,16000,24300
sh600273,嘉化能源,57999.8429,130628.5261
sh600275,*ST昌鱼,50883.7238,50883.7238
sh600276,恒瑞医药,281228.4432,281688.9833
sh600277,亿利洁能,208958.95,273894.0149
sh600278,东方创业,52224.1739,52224.1739
sh600279,重庆港九,69295.8572,69295.8572
sh600280,中央商场,114833.4872,114833.4872
sh600281,太化股份,51440.2025,51440.2025
sh600282,南钢股份,387575.2457,396207.2457
sh600283,钱江水利,33591.6058,35299.5758
sh600284,浦东建设,69304,69304
sh600285,羚锐制药,53543.4614,59232.0838
sh600287,江苏舜天,43679.6074,43679.6074
sh600288,大恒科技,43680,43680
sh600289,亿阳信通,56592.2684,63105.2069
sh600290,华仪电气,52688.3658,75990.3511
sh600292,远达环保,78081.689,78081.689
sh600293,三峡新材,51675.39,116213.2046
sh600297,广汇汽车,239177.7141,715052.0882
sh600298,安琪酵母,81071.925,82408.0943
sh600299,安迪苏,57455.9411,268190.1273
sh600300,维维股份,167200,167200
sh600301,ST南化,23514.814,23514.814
sh600303,曙光股份,62032.4296,67560.4211
sh600305,恒顺醋业,60273.8,60273.8
sh600306,商业城,17740.5726,17813.8918
sh600307,酒钢宏兴,626335.7424,626335.7424
sh600308,华泰股份,116756.1419,116756.1419
sh600309,万华化学,259480.1664,273401.28
sh600310,桂东电力,82777.5,82777.5
sh600311,荣华实业,66560,66560
sh600312,平高电气,113748.5573,135692.1309
sh600313,农发种业,99359.6525,108219.8663
sh600315,上海家化,67124.8461,67341.6467
sh600317,营口港,647298.3003,647298.3003
sh600318,新力金融,48400,48400
sh600319,亚星化学,31559.4,31559.4
sh600320,振华重工,276833.1384,439029.4584
sh600321,国栋建设,118088,151055
sh600322,天房发展,110570,110570
sh600323,瀚蓝环境,62870.999,76626.4018
sh600326,西藏天路,66568.0392,66568.0392
sh600327,大东方,52171.1813,56716.6357
sh600328,兰太实业,43803.1073,43803.1073
sh600329,中新药业,56576.8076,76887.3076
sh600330,天通股份,81997.1442,83047.1442
sh600332,白云山,107117.925,162579.0949
sh600333,长春燃气,52961.9808,52961.9808
sh600335,国机汽车,86213.9894,102973.6837
sh600336,澳柯玛,68007.2,77675.3269
sh600337,美克家居,148340.8456,148340.8456
sh600338,XD西藏珠,15833.3333,65300.7263
sh600339,中油工程,57815.4688,558314.7471
sh600340,华夏幸福,295494.6709,295494.6709
sh600343,航天动力,63820.6348,63820.6348
sh600346,恒力股份,91935.9142,282568.6942
sh600348,阳泉煤业,240500,240500
sh600351,亚宝药业,69200,78704.1461
sh600352,浙江龙盛,305993.186,325333.186
sh600353,旭光股份,54372,54372
sh600355,精伦电子,49208.92,49208.92
sh600356,恒丰纸业,29873.1378,29873.1378
sh600358,国旅联合,43200,50493.666
sh600360,华微电子,73808,73808
sh600361,华联综超,66580.7918,66580.7918
