#
# 环保
600217, 06.50, 07.80, 中再资还, 2017-06-07, (), ()
600388, 16.50, 17.80, 龙净环保, 2017-09-22, (* N/), (*12.60  14.30   17.40)
# 生物基因
002030, 20.00, 21.70, 达安基因, 2017-09-20, (), ()
# 人工智能
002253, 25.00, 27.00, 川大智能, 2017-10-09, (), ()
#000977, 19.00, 20.40, 浪潮信息, 2017-10-09, (), (*)
# 超跌st
601106, 04.10, 04.35, 中国一重, 2017-10-09, (), ()
# 生态农业
002170, 07.00, 09.31, 芭田股份, 2017-09-18, (), ()
002041, 14.64, 15.50, 登海种业, 2017-09-18, (), (**)
# 超导
600105, 08.20, 08.50, 永鼎股份, 2017-09-21, (), ()
#600416, 五日线
